Date,Close, NASDAQ Composite Index, S&P 500 Index,S&P 500 Volatility Index (VIX), Gold spot closing price per troy ounce($/oz),U.S. Dollar Index,Eurozone: Benchmark Rate (Major Refinancing Rate),USA: Federal Funds Target Rate,China: T-Bond Yield: 10Y,US 10-Year Breakeven Inflation Rate,World: Geopolitical Risk Index,Index of Global Real Economic Activity (Kilian),latest_size,latest_weight,latest_transaction_count,latest_input_value,latest_tansaction_fee,SMA,EMA,MACD,MACD_signal,MACD_diff,Google_trends,Decred - Tweets
2022/12/21,16806.4165,10709.37,3878.44,20.07,1817.55,104.2598,2.5,4.5,2.8797,2.27,112.9766954,-18.66628426,1176469,2818033,1829,19331018,1407,16748.3331,16832.91079,-847.6644908,-1076.289765,228.6252747,19.29032258,88992
2022/12/20,16902.54219,10547.11,3821.62,21.48,1813.9,103.9665,2,4.5,2.8647,2.24,113.1547712,-19.03200848,1594166,3993341,2397,2941326,8814,16778.21213,16845.57105,-784.0072058,-1017.833254,233.8260477,19.22580645,90756
2022/12/19,16424.79671,10546.03,3817.66,22.42,1790.8,104.6791,2,4.5,2.8661,2.15,113.3328469,-19.39773271,1546941,3746328,2817,434155,1562,16756.54731,16769.06662,-763.3094599,-966.9284948,203.6190349,19.16129032,100038
2022/12/18,16750.76581,10599.15667,3829.226667,22.48666667,1791.383333,104.7349333,2,4.5,2.8779,2.143333333,113.5109226,-19.76345694,175273,472321,371,3302320,178,16776.62557,16765.7392,-712.3913612,-916.0210681,203.6297069,19.09677419,81518
2022/12/17,16785.8923,10652.28333,3840.793333,22.55333333,1791.966667,104.7907667,2,4.5,2.8897,2.136666667,113.6889984,-20.12918116,266695,678940,353,99980000,1135,16784.56883,16769.4034,-661.5777308,-865.1324006,203.5546699,19.03225806,89303
2022/12/16,16608.4932,10705.41,3852.36,22.62,1792.55,104.8466,2,4.5,2.9015,2.13,113.8670741,-20.49490539,1649932,3992656,2677,163385,5424,16754.5233,16740.147,-628.3786295,-817.7816464,189.4030169,18.96774194,108929
2022/12/15,17339.45827,10810.53,3895.75,22.83,1783.55,104.6057,2,4.5,2.8753,2.16,114.0451499,-20.86062961,360901,1029583,886,233033,627,16805.47729,16849.11269,-536.8963237,-761.6045819,224.7082582,18.90322581,111475
2022/12/14,17799.16897,11170.89,3995.32,21.14,1808.05,103.6286,2,4,2.8794,2.19,114.2232256,-21.22635384,1273014,3426459,2520,3106,606,16902.00598,17021.85019,-422.4315969,-693.7699849,271.338388,18.83870968,123880
2022/12/13,17766.35055,11256.81,4019.65,22.55,1823.55,104.0158,2,4,2.9173,2.24,114.4013014,-21.59207806,951389,2292995,1578,1149714,1090,17000.59466,17157.21389,-330.5552139,-621.1270307,290.5718168,18.77419355,104973
2022/12/12,17220.81454,11143.74,3990.56,25,1786.6,105.0116,2,4,2.8853,2.28,114.5793771,-21.95780229,1298398,2972218,1102,27300298,584,17040.4699,17168.77765,-298.3238244,-556.5663894,258.242565,18.70967742,107250
2022/12/11,17091.91654,11097.36667,3971.833333,24.27666667,1789.783333,104.9829667,2,4,2.889666667,2.273333333,114.7574528,-22.32352652,220756,585250,523,5995433,607,17069.01991,17154.8029,-279.9540711,-501.2439257,221.2898547,18.64516129,95331
2022/12/10,17114.34059,11050.99333,3953.106667,23.55333333,1792.966667,104.9543333,2,4,2.894033333,2.266666667,114.9355286,-22.68925074,819702,2173101,1178,1131062,561,17090.19975,17147.44612,-260.582641,-453.1116688,192.5290278,18.58064516,83624
2022/12/9,17123.38673,11004.62,3934.38,22.83,1796.15,104.9257,2,4,2.8984,2.26,115.1136043,-23.05497497,1501455,3992925,3513,884201,1917,17160.05875,17143.07168,-241.7143626,-410.8322076,169.1178449,18.51612903,96787
2022/12/8,17254.8416,11082,3963.51,22.29,1790.15,104.8156,2,4,2.8746,2.28,115.2916801,-23.42069919,871890,2135118,1408,6997952,110,17210.46633,17163.39348,-213.6905156,-371.4038692,157.7133535,18.4516129,104067
2022/12/7,16838.04747,10958.55,3933.92,22.68,1782.2,105.1983,2,4,2.9189,2.26,115.4697558,-23.78642342,897698,2303105,1769,1868876,1740,17215.68185,17104.23966,-222.5478246,-341.6326603,119.0848357,18.38709677,105786
2022/12/6,17088.37612,11014.89,3941.26,22.17,1773.8,105.5641,2,4,2.9112,2.31,115.6478315,-24.15214765,1639756,3993352,1540,302409,19716,17263.67014,17101.35538,-206.9819176,-314.7025117,107.7205941,18.32258065,120551
2022/12/5,16959.33606,11239.94,3998.84,20.75,1776.8,105.272,2,4,2.8776,2.39,115.8259073,-24.51787187,458376,1159620,356,2500,152,17225.65792,17075.53369,-202.7214318,-292.3062957,89.58486392,18.25806452,112551
2022/12/4,17130.16533,11313.79333,4023.126667,20.18666667,1779.45,105.0179333,2,4,2.8746,2.403333333,116.003983,-24.8835961,86103,170895,55,584533,429,17158.75755,17085.46671,-183.4458225,-270.5342011,87.08837857,18.19354839,89870
2022/12/3,16903.72363,11387.64667,4047.413333,19.62333333,1782.1,104.7638667,2,4,2.8716,2.416666667,116.1820588,-25.24932032,1593193,3997978,3034,1191878,7478,17072.49486,17052.42252,-184.3170244,-253.2907658,68.97374133,18.12903226,83177
2022/12/2,17088.4265,11461.5,4071.7,19.06,1784.75,104.5098,2,4,2.8686,2.43,116.3601345,-25.61504455,1588799,3992981,2387,2170200,4816,17059.25606,17058.96869,-168.1649787,-236.2656084,68.10062968,18.06451613,93412
2022/12/1,16956.1893,11482.45,4076.57,19.84,1803.15,104.7036,2,4,2.8762,2.36,116.5382103,-25.98076877,1535416,3992758,3580,10949547,3885,17045.68333,17040.28153,-164.1426684,-221.8410204,57.69835195,18,113755
2022/11/30,17188.63468,11468,4080.11,20.58,1753.5,105.9765,2,4,2.9102,2.34,116.716286,-26.346493,1432563,3998256,3437,3926542,14348,17053.11274,17067.25483,-140.5780626,-205.5884288,65.01036617,18.26666667,133079
2022/11/29,16436.1924,10983.78,3957.63,21.89,1752.7,106.8126,2,4,2.9108,2.25,117.5978236,-25.23079457,1726413,3998328,2736,5606,313,16984.39331,16952.51621,-180.537621,-200.5782673,20.04064623,18.53333333,100130
2022/11/28,16212.40325,11049.5,3963.94,22.21,1746.55,106.6752,2,4,2.8441,2.26,118.4793613,-24.11509613,1552586,3993215,1834,1540832,4772,16880.14947,16817.95021,-227.6396846,-205.9905507,-21.64913389,18.8,107897
2022/11/27,16432.36462,11108.45333,3984.666667,21.64,1748.316667,106.4742667,2,4,2.836733333,2.28,119.3608989,-22.9993977,1367362,3993295,2653,4579431,2088,16839.58119,16747.84374,-244.4020507,-213.6728507,-30.72919994,19.06666667,169345
2022/11/26,16461.19452,11167.40667,4005.393333,21.07,1750.083333,106.2733333,2,4,2.829366667,2.3,120.2424365,-21.88369927,1615552,3993196,2132,1810579,8177,16776.86303,16695.7257,-252.4499285,-221.4282663,-31.02166222,19.33333333,120721
2022/11/25,16511.91128,11226.36,4026.12,20.5,1751.85,106.0724,2,4,2.822,2.32,121.1239742,-20.76800083,1672894,3992851,3084,206197,4100,16732.12055,16662.3049,-251.8325424,-227.5091215,-24.32342088,19.6,145579
2022/11/24,16597.7313,11255.84,4026.69,20.42,1755.4,105.8617,2,4,2.7968,2.32,122.0055118,-19.6523024,1683627,3993474,1448,424294,8577,16678.87715,16650.56424,-241.6329071,-230.3338786,-11.2990285,19.86666667,131430
2022/11/23,16615.2292,11285.32,4027.26,20.35,1740.15,106.1437,2,4,2.8231,2.32,122.8870494,-18.53660397,1737980,3993629,652,166882247,9724,16650.0277,16644.13969,-229.4922447,-230.1655518,0.673307169,20.13333333,132170
2022/11/22,16174.9574,11174.41,4003.58,21.29,1742.95,107.1687,2,4,2.8439,2.32,123.7685871,-17.42090553,1400382,3993402,2984,24838371,5382,16558.68079,16558.83382,-252.4864305,-234.6297276,-17.85670297,20.4,139292
2022/11/21,15779.9717,11024.51,3949.94,22.36,1740.4,107.8226,2,4,2.8183,2.31,124.6501247,-16.3052071,2080570,3998251,801,5718,226,16441.05903,16417.22253,-299.1333107,-247.5304442,-51.60286653,20.66666667,156187
2022/11/20,16291.4477,11065.02667,3955.073333,22.61333333,1744.133333,107.5376667,2,4,2.821166667,2.29,125.5316623,-15.18950867,109675,275458,165,470987940,4393,16351.34034,16394.35438,-291.469581,-256.3182716,-35.15130942,20.93333333,128270
2022/11/19,16715.83859,11105.54333,3960.206667,22.86666667,1747.866667,107.2527333,2,4,2.824033333,2.27,126.4132,-14.07381023,1503278,3992630,2858,13689645,5368,16379.30496,16452.80605,-248.2890994,-254.7124371,6.423337687,21.2,127777
2022/11/18,16711.14178,11146.06,3965.34,23.12,1751.6,106.9678,2,4,2.8269,2.25,127.2947376,-12.9581118,1276443,3993243,1533,6310000,8474,16429.17881,16499.77618,-212.0034066,-246.170631,34.1672244,21.46666667,129206
2022/11/17,16690.88953,11144.96,3946.56,23.93,1758.6,106.6784,2,4,2.8372,2.28,128.1762752,-11.84241337,1354885,3993223,2867,876913,6263,16455.0313,16534.52406,-182.7740165,-233.4913081,50.71729164,21.73333333,201128
2022/11/16,16673.50771,11183.66,3958.79,24.11,1773,106.2934,2,4,2.8187,2.29,129.0578129,-10.72671493,1325483,3998306,2203,9445782,1523,16476.26262,16559.79382,-159.177186,-218.6284837,59.45129773,22,118527
2022/11/15,16894.9265,11358.41,3991.73,24.54,1771.35,106.5629,2,4,2.8355,2.35,129.9393505,-9.6110165,1156068,3995787,1180,1582838,3997,16514.56414,16620.72703,-121.2126184,-199.1453106,77.93269224,22.26666667,126661
2022/11/14,16630.63746,11196.22,3957.25,23.73,1768.9,106.8986,2,4,2.8267,2.37,130.8208881,-8.495318067,1547765,3993203,2279,988995,4972,16517.85476,16622.52893,-111.1698447,-181.5502174,70.38037273,22.53333333,145064
2022/11/13,16349.9976,11238.59,3969.143333,23.32666667,1765.716667,106.7351667,2,4,2.788966667,2.375,131.7024258,-7.379619633,1427034,3993261,2940,93838903,20086,16491.3316,16572.97778,-124.4219078,-170.1245555,45.70264771,22.8,106990
2022/11/12,16802.1943,11280.96,3981.036667,22.92333333,1762.533333,106.5717333,2,4,2.751233333,2.38,132.5839634,-6.2639212,740190,1884693,1331,847522,2958,16554.05529,16614.65351,-97.31399339,-155.5624431,58.24844971,23.06666667,111941
2022/11/11,17104.1984,11323.33,3992.93,22.52,1759.35,106.4083,2,4,2.7135,2.385,133.465501,-5.148222767,1184673,2874993,1598,196710298,31333,16686.47796,16703.66167,-50.87511236,-134.6249769,83.74986458,23.33333333,124161
2022/11/10,17590.41467,11114.15,3956.37,23.53,1744.75,107.8847,2,4,2.7014,2.39,134.3470387,-4.032524333,1464577,3992806,3019,1359639,5564,16816.37466,16864.88949,24.87488307,-102.7250049,127.599888,23.6,152541
2022/11/9,15789.34242,10353.17,3748.57,26.09,1715.25,110.4278,2,4,2.7009,2.42,135.2285763,-2.9168259,1500055,3993355,2196,62145645,4521,16723.72504,16669.33548,-59.73558363,-94.12712068,34.39153705,23.86666667,196136
2022/11/8,18528.52093,10616.2,3828.11,25.54,1678.65,109.6342,2,4,2.7157,2.5,136.1101139,-1.801127467,695431,1913350,1388,2419397310,2464,16905.46295,17007.3692,93.16487821,-56.6687209,149.8335991,24.13333333,143108
2022/11/7,20591.7459,10564.52,3806.8,24.35,1678.95,110.1872,2,4,2.7049,2.53,136.9916516,-0.685429033,1449927,3993048,2853,75119,172,17295.54859,17659.07405,376.4847265,29.96196857,346.5227579,24.4,114921
2022/11/6,20913.0539,10534.76333,3794.716667,24.41666667,1677.433333,110.3861,2,4,2.705066667,2.513333333,137.8731892,0.4302694,821946,2098665,1027,896706,7778,17719.50321,18250.70675,619.7999497,147.9295648,471.8703849,24.66666667,99840
2022/11/5,21281.5851,10505.00667,3782.633333,24.48333333,1675.916667,110.585,2,4,2.705233333,2.496666667,138.7547268,1.545967833,1825799,3993083,1133,416000,1232,18158.16907,18801.77554,832.7667879,284.8970094,547.8697785,24.93333333,109155
2022/11/4,21156.078,10475.25,3770.55,24.55,1674.4,110.7839,2,4,2.7054,2.48,139.6362645,2.661666267,1495336,3998269,2810,1234328,493,18610.71312,19229.83053,980.1189661,423.9414008,556.1775653,25.2,121704
2022/11/3,20208.59651,10342.94,3719.89,25.3,1628.75,112.9842,2,4,2.6835,2.4,140.5178021,3.7773647,1590873,3993261,3543,24781016,336,18996.57301,19407.78798,1008.813813,540.9158832,467.8979299,25.46666667,108848
2022/11/2,20151.52308,10524.8,3759.69,25.86,1649.55,112.1193,2,3.25,2.6786,2.53,141.3993397,4.893063133,1337886,3993012,2272,12478083,2860,19331.50589,19543.01255,1015.246211,635.7819488,379.4642622,25.73333333,117496
2022/11/1,20481.5549,10890.85,3856.1,25.81,1645.25,111.5609,1.25,3.25,2.6605,2.51,142.2808774,6.008761567,1518572,3993491,2561,209153795,1457,19669.24154,19713.65661,1035.043407,715.6342403,319.4091662,26,117865
2022/10/31,20504.46023,10988.15,3871.98,25.88,1639,111.6036,1.25,3.25,2.6553,2.52,143.162415,7.12446,214837,560893,412,685435,3247,19960.6461,19857.43909,1040.585869,780.6245661,259.9613029,25.70967742,130807
2022/10/30,20621.7479,11026.25,3881.673333,25.83666667,1642.016667,111.2945,1.25,3.25,2.670033333,2.516666667,142.8018813,6.494766484,772126,2073154,1023,45988600,2266,20443.88664,19996.40433,1042.426007,832.9848543,209.4411529,25.41935484,93623
2022/10/29,20811.98837,11064.35,3891.366667,25.79333333,1645.033333,110.9854,1.25,3.25,2.684766667,2.513333333,142.4413476,5.865072968,168796,486895,423,30699937,2250,20672.23339,20144.69233,1047.16409,875.8207014,171.3433885,25.12903226,96943
2022/10/28,20608.2579,11102.45,3901.06,25.75,1648.05,110.6763,1.25,3.25,2.6995,2.51,142.0808139,5.235379452,43057,122131,95,264999507,2812,20673.88459,20228.97698,1022.690766,905.1947144,117.4960517,24.83870968,101452
2022/10/27,20283.97975,10792.67,3807.3,27.39,1659.75,110.5894,1.25,3.25,2.7039,2.45,141.7202802,4.605685935,973599,3383403,622,1114290,134,20610.97717,20238.97748,965.9935714,917.3544858,48.63908564,24.5483871,122551
2022/10/26,20754.02397,10970.99,3830.6,27.28,1666.75,109.6982,1.25,3.25,2.7291,2.44,141.3597465,3.975992419,319610,824249,467,31677970,1060,20558.22106,20332.6223,948.0606239,923.4957134,24.56491052,24.25806452,445
2022/10/25,20110.87556,11199.12,3859.11,28.46,1659.25,110.8775,1.25,3.25,2.7282,2.51,140.9992127,3.346298903,1350367,3998269,2653,4784000,3715,20453.70082,20292.30471,871.9011978,913.1768103,-41.27561249,23.96774194,156531
2022/10/24,19335.3937,10952.61,3797.34,29.85,1649.15,112.0087,1.25,3.25,2.7298,2.59,140.638679,2.716605387,1413022,3999604,2326,6226296,4401,20366.38054,20118.32089,740.4341348,878.6282752,-138.1941404,23.67741935,101951
2022/10/23,19548.7249,10921.64667,3782.476667,29.79666667,1647.183333,111.9559667,1.25,3.25,2.729433333,2.566666667,140.2781453,2.086911871,15964,40888,46,3232774,0,20306.10072,20014.75798,646.0127524,832.1051706,-186.0924183,23.38709677,105347
2022/10/22,19202.85297,10890.68333,3767.613333,29.74333333,1645.216667,111.9032333,1.25,3.25,2.729066667,2.543333333,139.9176116,1.457218355,45581,124166,130,239252,182,20178.23052,19867.13889,537.0829936,773.1007352,-236.0177416,23.09677419,98768
2022/10/21,19166.3286,10859.72,3752.75,29.69,1643.25,111.8505,1.25,3.25,2.7287,2.52,139.5570779,0.827524839,1481762,3993356,1386,192507,1032,20044.41736,19739.71884,442.7049369,707.0215756,-264.3166387,22.80645161,104532
2022/10/20,19042.9309,10614.84,3665.78,29.98,1635.3,112.8273,1.25,3.25,2.7246,2.51,139.1965442,0.197831323,902847,2425065,1956,9386242,1790,19886.53566,19613.03012,353.8732533,636.3919111,-282.5186578,22.51612903,105699
2022/10/19,19124.9892,10680.51,3695.16,30.76,1631.7,112.9089,1.25,3.25,2.709,2.42,138.8360105,-0.431862194,1536597,3992832,3019,3106,606,19717.83575,19524.29541,286.788998,566.4713285,-279.6823305,22.22580645,108343
2022/10/18,19351.0697,10772.4,3719.98,30.5,1653,112.0303,1.25,3.25,2.71,2.41,138.4754768,-1.06155571,1487542,3998302,3162,130813651,2175,19592.11693,19492.79982,248.9967696,502.9764167,-253.9796471,21.93548387,111263
2022/10/17,19558.1117,10675.8,3677.95,31.37,1664.75,112.0931,1.25,3.25,2.7107,2.45,138.1149431,-1.691249226,1404547,3993631,3111,578102,1695,19519.53012,19504.67471,233.0660747,448.9943483,-215.9282736,21.64516129,116159
2022/10/16,19259.62065,10557.66333,3646.323333,31.58666667,1659.6,112.4985667,1.25,3.25,2.7131,2.436666667,137.7544094,-2.320942742,298584,757587,496,6200635,668,19370.08979,19460.11943,194.1174852,398.0189757,-203.9014905,21.35483871,105755
2022/10/15,19054.8847,10439.52667,3614.696667,31.80333333,1654.45,112.9040333,1.25,3.25,2.7155,2.423333333,137.3938756,-2.950636258,20394,58962,55,122450156,3067,19264.4907,19386.44039,145.0578313,347.4267468,-202.3689155,21.06451613,105449
2022/10/14,19191.0274,10321.39,3583.07,32.02,1649.3,113.3095,1.25,3.25,2.7179,2.41,137.0333419,-3.580329774,1548369,3993486,1476,167790,1790,19250.05407,19350.91075,115.8280861,301.1070147,-185.2789286,20.77419355,110540
2022/10/13,19380.6893,10649.15,3669.91,31.94,1648.1,112.4601,1.25,3.25,2.7347,2.34,136.6728082,-4.21002329,293297,766280,564,490174,1538,19233.25051,19356.32503,106.7370345,262.2330186,-155.4959841,20.48387097,128680
2022/10/12,19157.97735,10417.1,3577.03,33.57,1670.65,113.2668,1.25,3.25,2.7527,2.29,136.3122745,-4.839716806,1623917,3993302,2995,241245,986,19228.76295,19320.26182,80.63184382,225.9127837,-145.2809398,20.19354839,112252
2022/10/11,19045.5416,10426.19,3588.84,33.63,1664.7,113.2941,1.25,3.25,2.744,2.31,135.9517408,-5.469410323,293238,819180,573,13812498,1454,19216.68425,19270.31269,50.29094419,190.7884158,-140.4974716,19.90322581,111814
2022/10/10,19135.37402,10542.1,3612.39,32.45,1676.55,113.1571,1.25,3.25,2.7446,2.3,135.5912071,-6.099103839,57462,153855,103,311207261,7414,19225.92856,19245.77838,33.11258702,159.25325,-126.140663,19.61290323,118872
2022/10/9,19436.3351,10578.86667,3621.48,32.08666667,1683.083333,113.0234667,1.25,3.25,2.7486,2.29,135.2306734,-6.728797355,211610,496307,260,2568363,339,19257.06315,19280.42506,43.2846999,136.05954,-92.7748401,19.32258065,96752
2022/10/8,19401.0105,10615.63333,3630.57,31.72333333,1689.616667,112.8898333,1.25,3.25,2.7726,2.28,134.8701397,-7.358490871,546797,1481675,1264,802692,659,19262.05723,19302.34969,47.94311426,118.4362549,-70.49314059,19.03225806,92336
2022/10/7,19533.02825,10652.4,3639.66,31.36,1696.15,112.7562,1.25,3.25,2.7674625,2.27,134.509606,-7.988184387,801435,1948914,1359,14272324,426,19259.54889,19344.29124,61.57783925,107.0645717,-45.48673248,18.74193548,102523
2022/10/6,19948.2219,11073.31,3744.52,30.52,1714.2,112.2612,1.25,3.25,2.762325,2.22,134.1490723,-8.617877903,658547,1684676,1133,41161967,1804,19328.40901,19454.09682,104.6794356,106.5875445,-1.9081089,18.4516129,107362
2022/10/5,20168.6041,11148.64,3783.28,28.55,1700.5,111.1992,1.25,3.25,2.7571875,2.22,133.7885385,-9.247571419,1791939,3998115,1048,28370000,600,19439.78095,19584.00723,154.8359107,116.2372178,38.59869299,18.16129032,110730
2022/10/4,20339.726,11176.41,3790.93,29.07,1714.85,110.1798,1.25,3.25,2.75205,2.24,133.4280048,-9.877264935,1505864,3869771,2801,127662818,7942,19554.65081,19721.41064,206.0185324,134.1934807,71.82505175,17.87096774,126937
2022/10/3,19610.3879,10815.43,3678.43,30.1,1668.4,111.6392,1.25,3.25,2.7469125,2.24,133.0674711,-10.50695845,1667618,3993530,2397,1565652,601,19577.62067,19701.22469,185.5902704,144.4728386,41.11743181,17.58064516,110767
2022/10/2,19035.34988,10735.49333,3647.493333,30.60666667,1669.516667,111.8098333,1.25,3.25,2.741775,2.21,132.7069374,-11.13665197,172860,439782,353,439744,705,19565.35793,19580.15654,121.5982545,139.8979218,-18.29966733,17.29032258,91981
2022/10/1,19305.1719,10655.55667,3616.556667,31.11333333,1670.633333,111.9804667,1.25,3.25,2.7366375,2.18,132.3464037,-11.76634548,523284,1371804,952,224116,448,19591.32096,19530.15934,91.600588,130.238455,-38.63786705,17,90812
2022/9/30,19449.60774,10575.62,3585.62,31.62,1671.75,112.1511,1.25,3.25,2.7315,2.15,131.98587,-12.396039,642188,1564859,816,385097284,22185,19622.74433,19515.51359,78.57620846,119.9060057,-41.32979727,17.13333333,122873
2022/9/29,19593.33746,10737.51,3640.47,31.84,1654.8,111.9699,1.25,3.25,2.7296,2.19,132.015115,-12.5599414,543694,1428574,721,282405,3228,19638.44456,19529.66339,78.9420863,111.7132218,-32.77113555,17.26666667,125181
2022/9/28,19399.48878,11051.64,3719.04,30.18,1652.15,112.7177,1.25,3.25,2.7121,2.33,132.04436,-12.7238438,1685552,3668201,1724,11861,3661,19638.29239,19505.99528,62.86540518,101.9436585,-39.07825333,17.4,121853
2022/9/27,19098.47982,10829.5,3647.29,32.6,1634.3,114.1596,1.25,3.25,2.7009,2.33,132.073605,-12.8877462,233933,615611,410,247812,141,19594.83755,19431.90156,25.5411893,86.66316467,-61.12197537,17.53333333,129870
2022/9/26,19238.7536,10802.92,3655.04,32.26,1643.35,114.1146,1.25,3.25,2.6951,2.32,132.10285,-13.0516486,842988,2081535,1548,693188,2634,19523.89072,19396.78375,7.197433488,70.77001843,-63.57258495,17.66666667,124507
2022/9/25,18814.0516,10824.59,3667.77,31.48,1643.416667,113.7538667,1.25,3.25,2.683966667,2.336666667,132.132095,-13.215551,739214,1985489,1387,145112,1011,19388.43547,19290.83245,-41.13583883,48.38884698,-89.52468581,17.8,99191
2022/9/24,18931.73411,10846.26,3680.5,30.7,1643.483333,113.3931333,1.25,3.25,2.672833333,2.353333333,132.16134,-13.3794534,1405880,3993401,2736,523000,13526,19247.63628,19225.54184,-69.14722403,24.88163278,-94.02885681,17.93333333,100957
2022/9/23,19245.96942,10867.93,3693.23,29.92,1643.55,113.0324,1.25,3.25,2.6617,2.37,132.190585,-13.5433558,546628,1366438,850,323881,321,19211.19443,19229.25595,-65.23825954,6.857654315,-72.09591386,18.06666667,107393
2022/9/22,19429.13269,11066.8,3757.99,27.35,1671.85,111.2889,1.25,3.25,2.6496,2.41,132.21983,-13.7072582,1403398,3993607,2256,25581628,1728,19250.57271,19265.59717,-46.82090911,-3.878058369,-42.94285074,18.2,124415
2022/9/21,18501.82049,11220.19,3789.93,27.99,1671.75,111.3731,1.25,2.5,2.6552,2.38,132.249075,-13.8711606,1567452,3993381,2391,74985665,4905,19170.23757,19126.72869,-105.8314122,-24.26872913,-81.56268304,18.33333333,151590
2022/9/20,18873.2005,11425.05,3855.93,27.16,1664.15,110.1986,1.25,2.5,2.6744,2.4,132.27832,-14.035063,1617025,3986506,2809,2760577,1440,19112.59685,19080.63265,-121.2329009,-43.66156348,-77.5713374,18.46666667,128782
2022/9/19,19576.6372,11535.02,3899.89,25.76,1664.275,109.5949,1.25,2.5,2.6831,2.34,132.307565,-14.1989654,1699824,3992700,1967,54344021,537,19110.92682,19170.8153,-75.8034143,-50.08993364,-25.71348066,18.6,117690
2022/9/18,19393.59391,11506.14667,3891.036667,25.94,1664.4,109.6165,1.25,2.5,2.684933333,2.353333333,132.33681,-14.3628678,1078575,2893320,1596,510076,2130,19110.33733,19211.3205,-53.94839921,-50.86162676,-3.086772451,18.73333333,93136
2022/9/17,20123.64055,11477.27333,3882.183333,26.12,1664.525,109.6381,1.25,2.5,2.686766667,2.366666667,132.366055,-14.5267702,207223,548653,452,20277315,7188,19212.85341,19377.19687,22.02661157,-36.28397909,58.31059066,18.86666667,89938
2022/9/16,19756.26819,11448.4,3873.33,26.3,1664.65,109.6597,1.25,2.5,2.6886,2.38,132.3953,-14.6906726,1502589,3993345,3191,415152,3714,19264.60487,19446.11893,51.99411947,-18.62835938,70.62247885,19,94594
2022/9/15,19662.3883,11552.36,3901.35,26.27,1689.1,109.6856,1.25,2.5,2.67,2.43,132.424545,-14.854575,1504453,3998203,2824,510000,23533,19349.43854,19485.44063,67.39141688,-1.424404128,68.81582101,19.13333333,97392
2022/9/14,20251.71983,11719.68,3946.01,26.16,1703.9,109.6461,1.25,2.5,2.6567,2.46,132.45379,-15.0184774,1515394,3993460,2000,624825802,2115,19481.43711,19624.76412,125.6990354,24.00028378,101.6987516,19.26666667,104602
